my_result,target
[16.],[[16]]
[16.],[[22]]
[15.],[[9]]
[5.],[[5]]
[5.],[[26]]
[5.],[[19]]
[15.],[[4]]
[15.],[[8]]
[5.],[[24]]
[15.],[[4]]
[16.],[[16]]
[5.],[[10]]
[15.],[[2]]
[15.],[[21]]
[15.],[[13]]
[16.],[[6]]
[15.],[[21]]
[16.],[[16]]
[5.],[[9]]
[16.],[[16]]
[16.],[[16]]
[15.],[[15]]
[5.],[[12]]
[14.],[[23]]
[5.],[[11]]
[5.],[[3]]
[5.],[[5]]
[5.],[[12]]
[5.],[[12]]
[5.],[[3]]
[15.],[[25]]
[5.],[[7]]
[16.],[[6]]
[15.],[[19]]
[15.],[[9]]
[5.],[[11]]
[5.],[[3]]
[15.],[[4]]
[15.],[[4]]
[15.],[[2]]
[15.],[[11]]
[15.],[[7]]
[15.],[[7]]
[5.],[[20]]
[5.],[[19]]
[5.],[[3]]
[5.],[[11]]
[16.],[[22]]
[5.],[[6]]
[15.],[[22]]
[15.],[[17]]
[15.],[[7]]
[15.],[[1]]
[5.],[[5]]
[15.],[[8]]
[16.],[[6]]
[15.],[[4]]
[5.],[[19]]
[16.],[[22]]
[15.],[[15]]
[15.],[[8]]
[16.],[[6]]
[15.],[[13]]
[16.],[[24]]
[5.],[[19]]
[5.],[[19]]
[5.],[[19]]
[15.],[[17]]
[16.],[[6]]
[5.],[[10]]
[15.],[[21]]
[5.],[[12]]
[5.],[[19]]
[15.],[[1]]
[5.],[[24]]
[15.],[[21]]
[5.],[[9]]
[15.],[[1]]
[15.],[[18]]
[5.],[[11]]
[15.],[[15]]
[15.],[[21]]
[5.],[[20]]
[16.],[[14]]
[15.],[[5]]
[5.],[[26]]
[5.],[[24]]
[5.],[[11]]
[15.],[[15]]
[15.],[[17]]
[15.],[[4]]
[16.],[[25]]
[5.],[[24]]
[5.],[[10]]
[5.],[[3]]
[16.],[[19]]
[5.],[[7]]
[15.],[[4]]
[15.],[[23]]
[15.],[[17]]
[5.],[[17]]
[15.],[[7]]
[15.],[[8]]
[15.],[[11]]
[5.],[[3]]
[15.],[[2]]
[15.],[[25]]
[15.],[[21]]
[5.],[[3]]
[15.],[[17]]
[15.],[[10]]
[15.],[[21]]
[5.],[[5]]
[15.],[[13]]
[15.],[[21]]
[5.],[[19]]
[16.],[[20]]
[16.],[[25]]
[5.],[[7]]
[16.],[[23]]
[15.],[[19]]
[15.],[[22]]
[15.],[[8]]
[5.],[[11]]
[15.],[[13]]
[5.],[[24]]
[15.],[[8]]
[5.],[[6]]
[15.],[[21]]
[16.],[[16]]
[15.],[[8]]
[5.],[[24]]
[15.],[[13]]
[15.],[[4]]
[15.],[[21]]
[16.],[[20]]
[16.],[[21]]
[5.],[[2]]
[15.],[[17]]
[5.],[[19]]
[15.],[[12]]
[5.],[[11]]
[15.],[[23]]
[15.],[[10]]
[15.],[[7]]
[15.],[[18]]
[15.],[[13]]
[5.],[[3]]
[5.],[[11]]
[5.],[[10]]
[15.],[[15]]
[16.],[[10]]
[5.],[[26]]
[5.],[[19]]
[15.],[[4]]
[15.],[[21]]
[15.],[[15]]
[15.],[[21]]
[16.],[[22]]
[5.],[[7]]
[16.],[[22]]
[16.],[[25]]
[15.],[[21]]
[15.],[[17]]
[5.],[[3]]
[15.],[[17]]
[16.],[[25]]
[16.],[[8]]
[16.],[[25]]
[15.],[[1]]
[5.],[[11]]
[15.],[[13]]
[15.],[[15]]
[15.],[[7]]
[5.],[[12]]
[15.],[[11]]
[5.],[[12]]
[15.],[[10]]
[15.],[[1]]
[5.],[[20]]
[15.],[[21]]
[15.],[[2]]
[5.],[[26]]
[5.],[[6]]
[15.],[[8]]
[5.],[[26]]
[16.],[[23]]
[5.],[[19]]
[15.],[[19]]
[5.],[[3]]
[16.],[[20]]
[15.],[[21]]
[15.],[[7]]
[15.],[[18]]
[16.],[[14]]
[16.],[[14]]
[15.],[[2]]
[16.],[[14]]
[5.],[[17]]
[5.],[[7]]
[14.],[[23]]
[15.],[[2]]
[5.],[[17]]
[15.],[[13]]
[5.],[[26]]
[15.],[[13]]
[15.],[[24]]
[5.],[[1]]
[15.],[[8]]
[15.],[[17]]
[15.],[[1]]
[15.],[[15]]
[15.],[[17]]
[16.],[[16]]
[15.],[[1]]
[5.],[[26]]
[5.],[[19]]
[5.],[[2]]
[15.],[[12]]
[5.],[[7]]
[5.],[[26]]
[5.],[[3]]
[15.],[[11]]
[5.],[[20]]
[16.],[[16]]
[15.],[[17]]
[14.],[[23]]
[15.],[[1]]
[5.],[[19]]
[16.],[[6]]
[15.],[[22]]
[16.],[[16]]
[5.],[[20]]
[15.],[[4]]
[16.],[[16]]
[5.],[[11]]
[5.],[[7]]
[15.],[[13]]
[15.],[[10]]
[5.],[[12]]
[5.],[[12]]
[5.],[[5]]
[15.],[[17]]
[5.],[[5]]
[15.],[[14]]
[16.],[[25]]
[15.],[[1]]
[5.],[[12]]
[16.],[[20]]
[16.],[[6]]
[15.],[[1]]
[16.],[[4]]
[5.],[[2]]
[16.],[[23]]
[5.],[[17]]
[15.],[[9]]
[15.],[[4]]
[15.],[[15]]
[16.],[[23]]
[15.],[[11]]
[5.],[[7]]
[15.],[[4]]
[16.],[[8]]
[15.],[[13]]
[5.],[[5]]
[5.],[[3]]
[16.],[[16]]
[5.],[[20]]
[16.],[[16]]
[15.],[[3]]
[5.],[[26]]
[15.],[[14]]
[5.],[[11]]
[16.],[[16]]
[5.],[[24]]
[15.],[[14]]
[16.],[[14]]
[16.],[[14]]
[15.],[[7]]
[15.],[[10]]
[5.],[[7]]
[15.],[[13]]
[15.],[[20]]
[5.],[[12]]
[15.],[[14]]
[16.],[[22]]
[16.],[[4]]
[15.],[[11]]
[15.],[[17]]
[15.],[[8]]
[15.],[[13]]
[16.],[[25]]
[5.],[[26]]
[15.],[[15]]
[15.],[[17]]
[15.],[[10]]
[5.],[[3]]
[5.],[[11]]
[15.],[[4]]
[15.],[[1]]
[15.],[[17]]
[16.],[[25]]
[5.],[[11]]
[5.],[[5]]
[15.],[[13]]
[5.],[[24]]
[5.],[[18]]
[15.],[[13]]
[5.],[[9]]
[15.],[[1]]
[5.],[[17]]
[15.],[[11]]
[16.],[[25]]
[15.],[[8]]
[16.],[[16]]
[15.],[[23]]
[16.],[[16]]
[16.],[[23]]
[15.],[[8]]
[15.],[[8]]
[15.],[[14]]
[5.],[[26]]
[5.],[[26]]
[15.],[[15]]
[5.],[[7]]
[15.],[[1]]
[15.],[[4]]
[16.],[[16]]
[15.],[[2]]
[5.],[[11]]
[15.],[[4]]
[16.],[[25]]
[5.],[[5]]
[5.],[[8]]
[5.],[[18]]
[5.],[[26]]
[16.],[[2]]
[5.],[[7]]
[16.],[[6]]
[15.],[[22]]
[16.],[[16]]
[5.],[[22]]
[5.],[[26]]
[15.],[[21]]
[5.],[[2]]
[5.],[[26]]
[16.],[[9]]
[15.],[[15]]
[5.],[[9]]
[5.],[[19]]
[15.],[[14]]
[15.],[[10]]
[15.],[[17]]
[5.],[[5]]
[16.],[[16]]
[16.],[[23]]
[5.],[[5]]
[16.],[[6]]
[15.],[[13]]
[16.],[[6]]
[5.],[[26]]
[15.],[[2]]
[5.],[[12]]
[5.],[[6]]
[5.],[[5]]
[15.],[[14]]
[5.],[[5]]
[15.],[[18]]
[15.],[[13]]
[5.],[[5]]
[16.],[[23]]
[5.],[[24]]
[16.],[[20]]
[15.],[[15]]
[5.],[[25]]
[5.],[[17]]
[16.],[[22]]
[5.],[[24]]
[15.],[[15]]
[16.],[[20]]
[5.],[[24]]
[15.],[[26]]
[15.],[[21]]
[5.],[[19]]
[15.],[[14]]
[15.],[[17]]
[16.],[[6]]
[15.],[[7]]
[15.],[[17]]
[15.],[[9]]
[5.],[[19]]
[5.],[[24]]
[16.],[[14]]
[5.],[[5]]
[5.],[[24]]
[15.],[[18]]
[15.],[[8]]
[5.],[[5]]
[14.],[[13]]
[16.],[[25]]
[15.],[[1]]
[5.],[[17]]
[5.],[[11]]
[15.],[[21]]
[15.],[[20]]
[5.],[[12]]
[5.],[[5]]
[15.],[[21]]
[16.],[[16]]
[15.],[[21]]
[15.],[[8]]
[15.],[[18]]
[5.],[[24]]
[16.],[[6]]
[15.],[[13]]
[5.],[[5]]
[5.],[[5]]
[15.],[[13]]
[16.],[[21]]
[15.],[[15]]
[15.],[[3]]
[15.],[[11]]
[15.],[[1]]
[15.],[[17]]
[15.],[[7]]
[5.],[[5]]
[15.],[[15]]
[15.],[[24]]
[15.],[[13]]
[16.],[[4]]
[15.],[[2]]
[16.],[[16]]
[15.],[[8]]
[5.],[[9]]
[15.],[[4]]
[14.],[[23]]
[5.],[[11]]
[15.],[[1]]
[15.],[[15]]
[15.],[[22]]
[5.],[[12]]
[16.],[[14]]
[15.],[[9]]
[15.],[[1]]
[5.],[[24]]
[15.],[[17]]
[15.],[[8]]
[16.],[[16]]
[5.],[[19]]
[5.],[[11]]
[5.],[[3]]
[15.],[[24]]
[5.],[[26]]
[15.],[[1]]
[16.],[[25]]
[15.],[[21]]
[5.],[[2]]
[5.],[[12]]
[15.],[[21]]
[5.],[[10]]
[5.],[[9]]
[5.],[[10]]
[5.],[[15]]
[5.],[[24]]
[15.],[[13]]
[5.],[[10]]
[15.],[[15]]
[5.],[[9]]
[5.],[[3]]
[15.],[[15]]
[16.],[[6]]
[15.],[[13]]
[15.],[[4]]
[15.],[[13]]
[5.],[[7]]
[16.],[[20]]
[15.],[[8]]
[15.],[[4]]
[15.],[[7]]
[5.],[[25]]
[15.],[[22]]
[15.],[[11]]
[15.],[[14]]
[15.],[[10]]
[15.],[[15]]
[15.],[[15]]
[16.],[[6]]
[16.],[[16]]
[5.],[[19]]
[5.],[[9]]
[5.],[[5]]
[15.],[[24]]
[5.],[[24]]
[5.],[[5]]
[15.],[[17]]
[5.],[[24]]
[5.],[[5]]
[5.],[[26]]
[15.],[[2]]
[5.],[[19]]
[15.],[[10]]
[16.],[[6]]
[16.],[[23]]
[5.],[[11]]
[5.],[[18]]
[16.],[[25]]
[5.],[[19]]
[16.],[[25]]
[15.],[[7]]
[5.],[[9]]
[5.],[[2]]
[16.],[[10]]
[15.],[[1]]
[5.],[[26]]
[5.],[[9]]
[5.],[[17]]
[5.],[[25]]
[15.],[[14]]
[16.],[[20]]
[5.],[[24]]
[15.],[[14]]
[5.],[[24]]
[5.],[[10]]
[15.],[[21]]
[16.],[[22]]
[15.],[[17]]
[15.],[[8]]
[16.],[[25]]
[5.],[[24]]
[5.],[[24]]
[15.],[[23]]
[5.],[[9]]
[5.],[[25]]
[15.],[[10]]
[15.],[[24]]
[5.],[[5]]
[16.],[[16]]
[15.],[[1]]
[15.],[[8]]
[16.],[[22]]
[15.],[[13]]
[15.],[[21]]
[15.],[[13]]
[15.],[[23]]
[15.],[[4]]
[16.],[[16]]
[5.],[[26]]
[16.],[[9]]
[15.],[[15]]
[15.],[[17]]
[15.],[[8]]
[15.],[[2]]
[16.],[[25]]
[16.],[[4]]
[15.],[[7]]
[15.],[[8]]
[15.],[[21]]
[5.],[[19]]
[15.],[[18]]
[15.],[[9]]
[16.],[[6]]
[5.],[[9]]
[15.],[[3]]
[14.],[[23]]
[5.],[[24]]
[5.],[[9]]
[5.],[[11]]
[5.],[[19]]
[16.],[[6]]
[5.],[[5]]
[5.],[[3]]
[15.],[[14]]
[15.],[[2]]
[16.],[[6]]
[15.],[[15]]
[5.],[[5]]
[16.],[[23]]
[5.],[[10]]
[15.],[[21]]
[15.],[[4]]
[15.],[[2]]
[15.],[[17]]
[15.],[[18]]
[15.],[[1]]
[5.],[[19]]
[16.],[[6]]
[15.],[[1]]
[15.],[[5]]
[5.],[[2]]
[15.],[[8]]
[5.],[[12]]
[15.],[[2]]
[15.],[[15]]
[5.],[[2]]
[16.],[[20]]
[16.],[[16]]
[15.],[[15]]
[15.],[[26]]
[5.],[[11]]
[15.],[[13]]
[15.],[[1]]
[5.],[[20]]
[5.],[[2]]
[16.],[[6]]
[15.],[[15]]
[16.],[[14]]
[15.],[[4]]
[15.],[[4]]
[5.],[[5]]
[16.],[[25]]
[15.],[[17]]
[15.],[[8]]
[15.],[[17]]
[5.],[[7]]
[15.],[[21]]
[16.],[[18]]
[15.],[[20]]
[5.],[[26]]
[15.],[[13]]
[15.],[[4]]
[15.],[[9]]
[15.],[[7]]
[5.],[[8]]
[15.],[[11]]
[5.],[[11]]
[15.],[[2]]
[16.],[[22]]
[5.],[[24]]
[16.],[[23]]
[5.],[[26]]
[15.],[[8]]
[15.],[[15]]
[5.],[[24]]
[16.],[[10]]
[16.],[[22]]
[15.],[[22]]
[5.],[[7]]
[5.],[[21]]
[16.],[[2]]
[16.],[[14]]
[15.],[[10]]
[15.],[[2]]
[15.],[[15]]
[5.],[[25]]
[5.],[[1]]
[16.],[[25]]
[16.],[[10]]
[5.],[[11]]
[5.],[[7]]
[5.],[[9]]
[16.],[[16]]
[15.],[[1]]
[15.],[[13]]
[5.],[[26]]
[16.],[[16]]
[16.],[[16]]
[5.],[[8]]
[5.],[[24]]
[5.],[[24]]
[5.],[[3]]
[14.],[[23]]
[15.],[[1]]
[5.],[[24]]
[5.],[[3]]
[16.],[[6]]
[5.],[[26]]
[15.],[[13]]
[15.],[[22]]
[15.],[[18]]
[5.],[[26]]
[5.],[[5]]
[15.],[[21]]
[15.],[[14]]
[5.],[[3]]
[15.],[[8]]
[16.],[[20]]
[15.],[[15]]
[16.],[[6]]
[5.],[[26]]
[5.],[[12]]
[15.],[[2]]
[15.],[[8]]
[15.],[[26]]
[5.],[[3]]
[5.],[[19]]
[15.],[[16]]
[15.],[[18]]
[15.],[[22]]
[15.],[[9]]
[16.],[[16]]
[15.],[[23]]
[5.],[[10]]
[15.],[[4]]
[15.],[[21]]
[15.],[[11]]
[15.],[[18]]
[15.],[[15]]
[15.],[[9]]
[16.],[[16]]
[16.],[[9]]
[5.],[[24]]
[15.],[[11]]
[15.],[[22]]
[16.],[[20]]
[15.],[[17]]
[15.],[[23]]
[16.],[[6]]
[16.],[[16]]
[5.],[[19]]
[5.],[[3]]
[16.],[[22]]
[15.],[[13]]
[15.],[[15]]
[15.],[[9]]
[5.],[[7]]
[15.],[[7]]
[5.],[[9]]
[15.],[[24]]
[5.],[[12]]
[15.],[[2]]
[5.],[[12]]
[15.],[[7]]
[15.],[[4]]
[5.],[[3]]
[15.],[[17]]
[16.],[[8]]
[15.],[[10]]
[16.],[[20]]
[15.],[[23]]
[5.],[[2]]
[5.],[[12]]
[5.],[[17]]
[15.],[[18]]
[15.],[[4]]
[15.],[[19]]
[15.],[[17]]
[16.],[[3]]
[5.],[[19]]
[5.],[[9]]
[15.],[[23]]
[5.],[[11]]
[15.],[[4]]
[16.],[[16]]
[16.],[[6]]
[5.],[[20]]
[15.],[[13]]
[16.],[[14]]
[15.],[[11]]
[5.],[[26]]
[15.],[[10]]
[15.],[[8]]
[5.],[[7]]
[5.],[[2]]
[15.],[[15]]
[15.],[[22]]
[5.],[[18]]
[15.],[[15]]
[15.],[[8]]
[15.],[[14]]
[16.],[[14]]
[16.],[[20]]
[5.],[[5]]
[16.],[[16]]
[15.],[[1]]
[5.],[[25]]
[16.],[[25]]
[5.],[[25]]
[16.],[[23]]
[5.],[[21]]
[16.],[[23]]
[15.],[[4]]
[15.],[[25]]
[16.],[[20]]
[5.],[[19]]
[15.],[[1]]
[16.],[[6]]
[16.],[[16]]
[15.],[[21]]
[5.],[[7]]
[15.],[[15]]
[16.],[[16]]
[5.],[[9]]
[5.],[[7]]
[15.],[[17]]
[15.],[[22]]
[16.],[[20]]
[15.],[[10]]
[15.],[[17]]
[15.],[[8]]
[16.],[[22]]
[5.],[[12]]
[5.],[[12]]
[16.],[[25]]
[5.],[[12]]
[15.],[[18]]
[5.],[[3]]
[5.],[[21]]
[15.],[[4]]
[16.],[[14]]
[5.],[[24]]
[15.],[[25]]
[16.],[[7]]
[5.],[[19]]
[16.],[[16]]
[16.],[[23]]
[15.],[[8]]
[5.],[[12]]
[15.],[[24]]
[15.],[[5]]
[16.],[[16]]
[16.],[[6]]
[5.],[[21]]
[16.],[[25]]
[16.],[[20]]
[15.],[[22]]
[16.],[[20]]
[15.],[[2]]
[5.],[[12]]
[5.],[[24]]
[5.],[[24]]
[15.],[[21]]
[16.],[[16]]
[16.],[[6]]
[15.],[[10]]
[16.],[[6]]
[15.],[[13]]
[5.],[[9]]
[15.],[[22]]
[16.],[[6]]
[15.],[[12]]
[16.],[[20]]
[5.],[[5]]
[15.],[[24]]
[5.],[[3]]
[15.],[[23]]
[16.],[[16]]
[5.],[[10]]
[16.],[[16]]
[5.],[[24]]
[15.],[[18]]
[16.],[[10]]
[5.],[[24]]
[16.],[[6]]
[5.],[[26]]
[10.],[[10]]
[15.],[[17]]
[5.],[[12]]
[5.],[[26]]
[15.],[[11]]
[15.],[[2]]
[15.],[[8]]
[5.],[[21]]
[5.],[[24]]
[16.],[[20]]
[5.],[[11]]
[15.],[[1]]
[5.],[[12]]
[5.],[[7]]
[16.],[[8]]
[5.],[[19]]
[5.],[[3]]
[15.],[[8]]
[15.],[[17]]
[16.],[[23]]
[15.],[[7]]
[15.],[[7]]
[5.],[[3]]
[5.],[[12]]
[16.],[[20]]
[5.],[[3]]
[5.],[[2]]
[15.],[[17]]
[15.],[[15]]
[16.],[[6]]
[5.],[[18]]
[5.],[[26]]
[15.],[[4]]
[15.],[[1]]
[16.],[[25]]
[5.],[[2]]
[15.],[[20]]
[5.],[[24]]
[15.],[[13]]
[15.],[[17]]
[15.],[[11]]
[5.],[[24]]
[15.],[[17]]
[15.],[[4]]
[5.],[[24]]
[15.],[[17]]
[15.],[[8]]
[5.],[[10]]
[16.],[[20]]
[5.],[[9]]
[15.],[[21]]
[15.],[[17]]
[15.],[[13]]
[5.],[[5]]
[16.],[[10]]
[16.],[[6]]
[15.],[[9]]
[16.],[[14]]
[15.],[[14]]
[15.],[[22]]
[15.],[[17]]
[15.],[[10]]
[15.],[[15]]
[15.],[[9]]
[5.],[[9]]
